sku,price,stock,condition,opc,gtin,date_last_created,product_title,suspended_reason,category,brand ID,brand name,GPSR Compliance Status,GPSR Non-Compliance Reason(s),GPSR Last Check
705271011242,0,0,New,PX9FKS2,7.05271E+11,21/07/2026 14:40,ThermoPro TP357 80M Smart Wireless Digital Thermometer Hygrometer Indoor Mini Room Thermometer Weather Station With Data,Price below minimum,4886,91701,ThermoPro,,,
147008785109,0,0,New,PXD9BNT,1.47009E+11,24/07/2026 14:11,Garden Lights-New Upgraded Solar Powered Firefly Lights Outdoor Waterproof Vibran Garden Lights for Decorationi,Price below minimum,9663,1224727,GCTECHING,,,
156957987908,0,0,New,PXD9BNV,1.56958E+11,24/07/2026 14:11,BL1830 18 LED Work Lights Lamp Spotlight Torch Portable Hand Lanterns for Makita 18V Li-ion Battery BL1860 BL1815 USB Power Bank,Price below minimum,9658,1224750,dawupine,,,
153270660914,0,0,New,PXD9BNW,1.53271E+11,24/07/2026 14:11,4PCS Solar Powered Ultrasonic Mouse Mole Repeller Rodent Deterrent Vibration Wave LED Lights For Yard Garden Park Farm Outdoor,Price below minimum,14082,1224742,DOUWENXI,,,
149674485734,0,0,New,PXD9BNX,1.49674E+11,24/07/2026 14:11,Projector Light Starry Sky Moon Colorful Strobe Light Night Lights USB Plug-in Party Decor Gift Kids Room Atmosphere Galaxy,Price below minimum,8041,1224727,GCTECHING,,,
151019976876,0,0,New,PXD9BP6,1.5102E+11,24/07/2026 14:11,Solar Powered Sunflower Light Outdoor Waterproof LED Ground Insert Lawn Lamp For Garden Lawn Courtyard Decoration,Price below minimum,9632,1224737,WPOSTAR,,,
150633365530,0,0,New,PXD9BP2,1.50633E+11,24/07/2026 14:11,Solar Motion Sensor Light Outdoor LED Waterproof Lawn Street Garden Villa Porch Wall Mounted and Plug-in Dual-Purpose Camping,Price below minimum,32511,1224733,Aurooso,,,
155327646551,0,0,New,PXD9BP9,1.55328E+11,24/07/2026 14:11,NATFIRE LV10 Camping Light USB C Rechargeable 230 Hours With 5 Colors Flashlight For Outdoor Tent Lamp Emergency Lantern,Price below minimum,9663,1224747,NATFIRE,,,
152620851934,0,0,New,PXD9BP8,1.52621E+11,24/07/2026 14:11,Water Ripple Projection Light 16 Color Night Light Rechargeable Remote Control Bedroom Living Room Party Atmosphere Decor Light,Price below minimum,12829,1224727,GCTECHING,,,
148543626582,0,0,New,PXD9BPC,1.48544E+11,24/07/2026 14:11,Transparent Luminous LED Night Lights USB Luminous Acrylic Night Light Erasable Write Message Board Calendar Desktop Ornaments,Price below minimum,9227,1224730,Ligghig,,,
147999257630,0,0,New,PXD9BPD,1.47999E+11,24/07/2026 14:11,1PC Sunset Light Projection Light With Remote Control 16-Color Night Light RGB Color Changing LED Light Bedroom photography prop,Price below minimum,11402,1224729,Htomaza,,,
156153038169,0,0,New,PXD9BPH,1.56153E+11,24/07/2026 14:11,Motion Sensor LED Backlight Toilet Projection Lamp Creative Toilet Mini Night Lamp Toilet Bowl Seat Sensor Lighting Lamp,Price below minimum,2460,1224748,SCOFUT,,,
147520447028,0,0,New,PXD9BPJ,1.4752E+11,24/07/2026 14:11,2M 20LEDs Cherry Blossom String Light Garland Artificial Flower Vines Fairy Lights for Bedroom Wedding Party Holiday Decoration,Price below minimum,18249,1224727,GCTECHING,,,
151323424711,0,0,New,PXD9BPN,1.51323E+11,24/07/2026 14:11,RGB Night Lights LED Projector Light Starry Moon Galaxy Projection Lamp 5V USB for Kids Present Christmas Gift Room Decorations,Price below minimum,9631,1224736,LINYILIGHT,,,
153187083356,0,0,New,PXD9BPM,1.53187E+11,24/07/2026 14:11,2Pcs Solar Outdoor Mole Groundhog Repellent Stakes Ultrasonic Gopher Repeller Vole Deterrent Waterproof Sonic Repellent Spikes,Price below minimum,14082,1224742,DOUWENXI,,,
154665693494,0,0,New,PXD9BPW,1.54666E+11,24/07/2026 14:12,Nordic Industrial Wall Lamp Iron Black E27 Indoor Lighting Bedside Bathroom Bedroom Lamp Sconce Wall Light Fixture Decor,Price below minimum,13709,1224746,ONEYLTT,,,
152903754587,0,0,New,PXD9BPV,1.52904E+11,24/07/2026 14:12,8 Modes of Solar Powered Fireworks Lights LED Stake Lights Garden Lawn Holiday Decoration Waterproof Outdoor Landscape Lights,Price below minimum,9632,1224727,GCTECHING,,,
145834464014,0,0,New,PXD9BPY,1.45834E+11,24/07/2026 14:12,EU Plug Motion Sensor Wall Lamp 220V 240V Up Down Night Light For Bedroom Staircase Hallway Toilet Warm White Lighting,Price below minimum,8036,1224725,GGBEE,,,
156653470872,0,0,New,PXD9BPX,1.56653E+11,24/07/2026 14:12,RGBIC Firework Strip Lights LED Bluetooth APP Control Neon Strip USB 5V Changing Smart Lamp Sync Music Bedroom Decor Dream Light,Price below minimum,5373,1224749,OSIDEN,,,
149170766870,0,0,New,PXD9BQ9,1.49171E+11,24/07/2026 14:12,Colorful LED Starry Sky Projector Galaxy Light Magic Ball Moon Star Night Light Bedroom Atmosphere Lamp For Home Decoration,Price below minimum,9631,1224732,saimili,,,
145401432941,0,0,New,PXD9BQB,1.45401E+11,24/07/2026 14:12,2025 350000LM Outdoor Solar Lights Motion Sensor Solar Waterproof Security Wall Lighting Garden Wall Courtyard Path Lighting,Price below minimum,25143,1224726,paweinuo,,,
149880965679,0,0,New,PXD9BQC,1.49881E+11,24/07/2026 14:12,Car Emergency Beacon Light USB Rechargeable Magnetic Induction Auto Strobe Flashing Warning Light Help Flash Safety Signal Lamp,Price below minimum,10526,1224734,ZSPQGD,,,
